==23034== NVPROF is profiling process 23034, command: /opt/conda/bin/python3.7 /opt/conda/bin/lightseq-train /tmp/wmt14_en_de/ --task translation --arch ls_transformer_wmt_en_de_big_t2t --encoder-layers 6 --decoder-layers 6 --optimizer ls_adam --adam-betas (0.9, 0.98) --clip-norm 0.0 --lr 5e-4 --lr-scheduler
==23034== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==23034== Profiling application: /opt/conda/bin/python3.7 /opt/conda/bin/lightseq-train /tmp/wmt14_en_de/ --task translation --arch ls_transformer_wmt_en_de_big_t2t --encoder-layers 6 --decoder-layers 6 --optimizer ls_adam --adam-betas (0.9, 0.98) --clip-norm 0.0 --lr 5e-4 --lr-scheduler
==23034== Profiling result:
         Device   Context    Stream                Kernel  inst_executed  inst_per_warp  sm_efficiency  flop_count_hp  flop_count_sp  dram_read_bytes  dram_write_bytes  gld_transactions  gst_transactions         ipc  achieved_occupancy
                                                                                                     %
Tesla V100-SXM2         1         7  _ZN2at6native27unrol         400800     167.000000          55.48              0              0           784256            110784             38400             19200    0.546587            0.433240
Tesla V100-SXM2         1         7  _ZN2at6native27unrol         400800     167.000000          38.38              0              0          1228800              5632             38400             19200    1.151082            0.373902
Tesla V100-SXM2         1         7  void at::native::vec        5181488      15.999951          77.97              0              0              384          79776352                 0           2590721    0.459432            0.069886
Tesla V100-SXM2         1         7  _ZN2at6native27unrol            629     157.250000           0.66              0              0            12416               224               126                63    0.090883            0.062446
Tesla V100-SXM2         1         7  get_tokens_position(           8616     359.000000          14.57              0              0            10016              7584               912               588    0.060599            0.015625
Tesla V100-SXM2         1         7  void lookup_scale_po         467712     232.000000          34.89        1548288        1612800           721152             83232             68544             48384    1.520169            0.284584
Tesla V100-SXM2         1         7  void at::native::vec            284      71.000000           0.40              0              0             7360              1216               126                16    0.090851            0.062300
Tesla V100-SXM2         1         7  void at::native::unr            637     159.250000           0.36              0            512                0              2176                16                63    0.256545            0.062173
Tesla V100-SXM2         1         7  _ZN2at6native27unrol            669     167.250000           0.73              0              0            18432              4992                63                32    0.075516            0.062458
Tesla V100-SXM2         1         7  void at::native::vec        1574576      15.999837          72.36              0              0              384          22066656                 0            787265    0.453161            0.069883
Tesla V100-SXM2         1         7  void ker_layer_norm<         407736     202.250000          32.93        2064384        4905936                0                 0            129024             32760    1.467399            0.316031
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_        8519424   11093.000000          78.81              0        1572864          7353088           3847104           2318674             96768    1.475693            0.147408
Tesla V100-SXM2         1         7  void bias_add_transf         435456      72.000000          52.04        1548288              0          3105536           2460512            193536             96768    0.597073            0.599166
Tesla V100-SXM2         1         7  void cutlass::Kernel        3703296    2411.000000          80.10              0        3145728          2100320           1789152            516096             18144    0.925913            0.120100
Tesla V100-SXM2         1         7  void ker_attn_softma         418560    1090.000000          68.05         270336        2838528           140832            368320             18446             18144    0.297023            0.071816
Tesla V100-SXM2         1         7  ls_dropout_kernel(in         125198     186.306548           9.57         169344         529200           338880            420096             15876             15876    1.618800            0.446145
Tesla V100-SXM2         1         7  void cutlass::Kernel        3090432    2012.000000          81.78              0        3145728          1407072           1090272            346884             32256    0.825390            0.118305
Tesla V100-SXM2         1         7  void transform4d_021         252000     125.000000          24.01              0              0                0               128             32256             32256    1.369394            0.424886
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_        3129349    6112.009766          84.55         524288        2097152          3151232           3248064            794325             64640    0.916267            0.094999
Tesla V100-SXM2         1         7  ls_dropout_res_bias_         458304     223.781250          36.71        2064384        1097728          1132416            435424             96768             48384    1.169623            0.437606
Tesla V100-SXM2         1         7  void ker_layer_norm<         407736     202.250000          46.13        2064384        4905936          1041024              3968            129024             32760    0.861306            0.346024
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_       10226688   19974.000000          73.05              0        2097152          9421056           4086688           1477122            129024    1.812484            0.124528
Tesla V100-SXM2         1         7  void ls_dropout_act_        1999936     247.762141          66.30        6193152        6451200          4143808           5428288            258048            193536    1.633936            0.744532
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_       10166238   39711.867188          72.15         524288        2097152         12518016           2116960           2049102             64576    1.677278            0.062326
Tesla V100-SXM2         1         7  ls_dropout_res_bias_         458304     223.781250          43.12        2064384        1097728          2071488           1187840             96768             48384    0.874534            0.429182
Tesla V100-SXM2         1         7  void at::native::unr            637     159.250000           0.78              0            512            14080              1248                16                63    0.061611            0.062464
Tesla V100-SXM2         1         7  _ZN2at6native27unrol            669     167.250000           0.73              0              0            15360              3744                63                32    0.075287            0.062458
Tesla V100-SXM2         1         7  void at::native::vec        1574576      15.999837          61.17              0              0             2208          25667104                 0            787265    0.528637            0.090957
Tesla V100-SXM2         1         7  void ker_layer_norm<         407736     202.250000          37.03        2064384        4905936          1036288              2048            129024             32760    1.237717            0.318869
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_        8519424   11093.000000          78.82              0        1572864          7453568           3846848           2316874             96768    1.501379            0.148690
Tesla V100-SXM2         1         7  void bias_add_transf         435456      72.000000          54.24        1548288              0          3103872           2041728            193536             96768    0.609799            0.602989
Tesla V100-SXM2         1         7  void cutlass::Kernel        3703296    2411.000000          80.53              0        3145728          2099552           1324544            516096             18144    0.936012            0.119476
Tesla V100-SXM2         1         7  void ker_attn_softma         418560    1090.000000          67.33         270336        2838528           112928            463200             18446             18144    0.299825            0.071935
Tesla V100-SXM2         1         7  ls_dropout_kernel(in         125198     186.306548          11.09         169344         529200           512384            296064             15876             15876    1.194318            0.458917
Tesla V100-SXM2         1         7  void cutlass::Kernel        3090432    2012.000000          68.58              0        3145728          1370976           1056192            346884             32256    1.576399            0.117653
Tesla V100-SXM2         1         7  void transform4d_021         252000     125.000000          22.29              0              0                0                 0             32256             32256    1.525544            0.417122
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_        3130420    6114.101562          85.21         524288        2097152          3151296           3411072            796270             64640    0.894671            0.094993
Tesla V100-SXM2         1         7  ls_dropout_res_bias_         458304     223.781250          37.52        2064384        1097728          1037568            571552             96768             48384    1.170487            0.439299
Tesla V100-SXM2         1         7  void ker_layer_norm<         407736     202.250000          51.15        2064384        4905936          1041152            679840            129024             32760    0.703385            0.354659
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_       10226688   19974.000000          74.72              0        2097152          9446976           4632608           1474682            129024    1.632149            0.124656
Tesla V100-SXM2         1         7  void ls_dropout_act_        1999936     247.762141          65.91        6193152        6451200          4141248           5324896            258048            193536    1.596875            0.739660
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_       10172670   39736.992188          73.42         524288        2097152         12546496           3476224           2048038             64576    1.424122            0.062358
Tesla V100-SXM2         1         7  ls_dropout_res_bias_         458304     223.781250          42.00        2064384        1097728          2066112           1357024             96768             48384    0.883466            0.422692
Tesla V100-SXM2         1         7  void at::native::unr            637     159.250000           0.74              0            512            13696                 0                16                63    0.067586            0.062460
Tesla V100-SXM2         1         7  _ZN2at6native27unrol            669     167.250000           0.71              0              0            14976               128                63                32    0.079881            0.062455
Tesla V100-SXM2         1         7  void at::native::vec        1574576      15.999837          71.70              0              0              512          25191648                 0            787265    0.456930            0.071981
Tesla V100-SXM2         1         7  void ker_layer_norm<         407736     202.250000          47.84        2064384        4905936          1041024              3712            129024             32760    0.797083            0.348787
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_        8519424   11093.000000          76.40              0        1572864          7400320           3441056           2320618             96768    1.617097            0.149021
Tesla V100-SXM2         1         7  void bias_add_transf         435456      72.000000          53.74        1548288              0          3105280           2052064            193536             96768    0.586016            0.601530
Tesla V100-SXM2         1         7  void cutlass::Kernel        3703296    2411.000000          70.32              0        3145728          2064480           1156288            516096             18144    1.593683            0.119337
